"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"39314","col","Dursunlu","31.913889","38.279167","Dursunlu","","","1","Pleistocene","","2.588","0.0117","10617"
"40341","col","","111.699997","23.000000","Shanbeiyan Cave, Luoding","","","1","Middle Pleistocene","","0.781","0.126","10880"
"40398","col","","44.116669","41.966667","Akhalkalaki 1","","Achalkalaki 1","1","Pleistocene","","2.588","0.0117","10898"
"40502","col","","16.261389","44.170555","Strmica","","","1","Pleistocene","","2.588","0.0117","10917"
"40808","col","","13.664444","45.768612","Slivia, Trieste, Northern Italy","","","1","Middle Pleistocene","","0.781","0.126","11028"
"42866","col","","-8.874444","31.869167","Djebel Irhoud, Ennouchi collection, 1960s","","Jebel Irhoud","2","Middle Pleistocene","","0.781","0.126","11378"
"42867","col","","12.250000","43.000000","Pietrafitta, Perugia","","","1","Early Pleistocene","","2.588","0.781","11380"
"43008","col","","28.964722","41.018612","Yarimburgaz Cave, Bosphorus","","","2","Middle Pleistocene","","0.781","0.126","11397"
"43016","col","","14.216667","40.549999","Quisisana-Certosa","","","2","Middle Pleistocene","","0.781","0.126","11400"
"43020","col","Unterer Travertin","11.380000","50.950001","Taubach, Unterer Travertin (Lower Travertine)","","","1","Early Pleistocene","","2.588","0.781","11725"
"43617","col","","0.150000","45.650002","Artenac 'Premiere macromammal Assemblage', Commune de Saint-Mary, Charente,","","Artenac-en-Charente","1","Middle Pleistocene","Late Pleistocene","0.781","0.0117","11457"
"43618","col","","0.150000","45.983334","Artenac 'Deuxieme macromammal Assemblage', Commune de Saint-Mary, Charente,","","","1","Middle Pleistocene","Late Pleistocene","0.781","0.0117","11457"
"43629","col","","0.150000","45.650002","Artenac 'Bed 8', Commune de Saint-Mary, Charente,","","Artenac-en-Charente","1","Late Pleistocene","","0.126","0.0117","11457"
"43631","col","","0.150000","45.650002","Artenac 'Bed 6 composite list', Commune de Saint-Mary, Charente,","","Artenac-en-Charente","2","Late Pleistocene","","0.126","0.0117","11457"
"43649","col","","11.250000","45.416668","Castello, Brecce di Soave, Verona, Northern Italy","","","2","Middle Pleistocene","","0.781","0.126","11465"
"43650","col","","11.250000","45.416668","Monte Tenda, Brecce di Soave, Verona, Northern Italy","","","1","Middle Pleistocene","","0.781","0.126","11465"
"43651","col","","11.250000","45.416668","Sentiero, Brecce di Soave, Verona, Northern Italy","","","2","Middle Pleistocene","","0.781","0.126","11465"
"43653","col","","11.250000","45.416668","Viatelle, Brecce di Soave, Verona, Northern Italy","","","1","Middle Pleistocene","","0.781","0.126","11465"
"43654","col","","11.250000","45.416668","Zoppega 1, Brecce di Soave, Verona, Northern Italy","","","1","Middle Pleistocene","","0.781","0.126","11465"
"43656","col","","11.033333","45.616669","Grotta del Cere, Verona, Northern Italy","","","2","Pleistocene","","2.588","0.0117","11465"
"43664","col","","11.100000","46.016666","Serbaro di Romagnano, Commune di Grezzana, Verona, Northern Italy","","","2","Middle Pleistocene","","0.781","0.126","11465"
"43699","col","","13.748611","45.736389","Bristie 1, Sgonico, Trieste, Northern Italy","","","1","Middle Pleistocene","","0.781","0.126","11465"
